Date,Open,High,Low,Close,Adj Close,Volume,NextClose,Num
2019-11-15,77.559998,79.5,77.330002,78.07,78.07,3941400,78.190002,108
2019-11-18,76.870003,78.449997,76.330002,78.190002,78.190002,4235800,77.160004,109
2019-11-19,78.199997,78.300003,76.919998,77.160004,77.160004,2332900,77.639999,110
2019-11-20,76.849998,77.68,76.720001,77.639999,77.639999,2779400,77.699997,111
2019-11-21,77.839996,77.940002,77.360001,77.699997,77.699997,1694800,78.589996,112
2019-11-22,77.949997,78.779999,77.790001,78.589996,78.589996,2896100,78,113
2019-11-25,78.739998,78.870003,77.589996,78,78,2978200,78.449997,114
2019-11-26,77.910004,78.690002,77.589996,78.449997,78.449997,2832200,78.980003,115
2019-11-27,78.470001,79.300003,78.470001,78.980003,78.980003,2081500,78.550003,116
2019-11-29,78.879997,79.279999,78.5,78.550003,78.550003,872900,77.639999,117
2019-12-02,78.580002,78.839996,76.860001,77.639999,77.639999,2881400,78.010002,118
2019-12-03,77.449997,78.059998,76.809998,78.010002,78.010002,1956600,78.339996,119
2019-12-04,78.050003,78.529999,77.440002,78.339996,78.339996,1905500,76.940002,120
2019-12-05,78.07,78.199997,76.900002,76.940002,76.940002,2820400,77.739998,121
2019-12-06,77.540001,78,76.629997,77.739998,77.739998,2900300,75.870003,122
2019-12-09,77.699997,77.900002,75.300003,75.870003,75.870003,4364300,75.019997,123
2019-12-10,75.790001,75.910004,74.93,75.019997,75.019997,3080600,74.620003,124
2019-12-11,75.080002,75.410004,74.309998,74.620003,74.620003,3374000,74.889999,125
2019-12-12,75.230003,75.25,74.459999,74.889999,74.889999,2845600,75.470001,126
2019-12-13,74.970001,75.540001,74.650002,75.470001,75.470001,2725400,75.470001,127
2019-12-16,75.529999,75.849998,75.230003,75.470001,75.470001,3487900,75.489998,128
2019-12-17,75.449997,75.699997,75.019997,75.489998,75.489998,3603800,76.309998,129
2019-12-18,75.620003,76.419998,75.459999,76.309998,76.309998,4106300,77.220001,130
2019-12-19,76.040001,77.550003,76,77.220001,77.220001,2991900,77.400002,131
2019-12-20,77.93,77.93,77.019997,77.400002,77.400002,5944300,76.959999,132
2019-12-23,77.470001,77.559998,76.919998,76.959999,76.959999,1709400,77.32,133
2019-12-24,77.050003,77.410004,76.919998,77.32,77.32,470100,77.400002,134
2019-12-26,77.459999,77.540001,77.309998,77.400002,77.400002,1240900,77.239998,135
2019-12-27,77.32,77.5,77.010002,77.239998,77.239998,1310000,78.080002,136
