Date,Open,High,Low,Close,Adj Close,Volume
4/1/2020,82.989998,86.709999,82.699997,85.129997,85.129997,11018800
4/2/2020,85.050003,88.519997,84.019997,84.410004,84.410004,22956100
4/3/2020,84.559998,84.989998,81.040001,81.980003,81.980003,8378500
4/6/2020,84.489998,86.489998,82.989998,86.089996,86.089996,5256300
4/7/2020,87.660004,87.910004,85.169998,86.510002,86.510002,4410100
4/8/2020,86.599998,87.639999,86,86.849998,86.849998,3831600
4/9/2020,86.879997,87.75,84.93,85.900002,85.900002,5770900
4/13/2020,84.589996,87.279999,84.470001,86.169998,86.169998,3955700
4/14/2020,87.190002,89.940002,86.400002,89.620003,89.620003,4787100
4/15/2020,87.919998,89.389999,87.099998,88.540001,88.540001,5804000
4/16/2020,89.110001,90.580002,88.07,90.269997,90.269997,4796400
4/17/2020,92.75,93.300003,89.860001,90.989998,90.989998,3847500
4/20/2020,89.580002,91.730003,89.050003,89.940002,89.940002,3508700
4/21/2020,89.25,89.889999,86.099998,87.220001,87.220001,3946400
4/22/2020,89.879997,90.650002,88.279999,90.160004,90.160004,4261900
4/23/2020,90.68,91.879997,89.290001,90.339996,90.339996,4537100
4/24/2020,90.389999,91,89.010002,90.800003,90.800003,3564100
4/27/2020,91.32,91.379997,89.019997,90.910004,90.910004,3726300
4/28/2020,91.239998,91.410004,87.889999,87.940002,87.940002,3356500
4/29/2020,89.040001,90.029999,87.970001,89.309998,89.309998,3110700
4/30/2020,88.900002,89.019997,87.300003,87.800003,87.800003,3935600
5/1/2020,87.739998,88.110001,85.809998,86.199997,86.199997,3162000
5/4/2020,86.769997,88.970001,86.059998,88.959999,88.959999,4212200
5/5/2020,88.779999,89.769997,88.440002,88.970001,88.970001,3020100
5/6/2020,89.220001,89.730003,86.410004,86.589996,86.589996,3840900
5/7/2020,90.349998,95.400002,90.230003,95.290001,95.290001,10442000
5/8/2020,96.639999,98.769997,95.029999,98.519997,98.519997,4851100
5/11/2020,96.480003,97.459999,95.980003,96.720001,96.720001,3732800
5/12/2020,96.18,96.669998,94.550003,94.610001,94.610001,3773600
5/13/2020,94.389999,94.529999,91.5,92.779999,92.779999,3256900
5/14/2020,92.540001,95.07,92.160004,94.910004,94.910004,3990100
5/15/2020,95.019997,97.669998,93.730003,97.32,97.32,6715500
5/18/2020,98.160004,102.730003,98.07,101.900002,101.900002,6392800
5/19/2020,98.410004,99.760002,96.150002,98.599998,98.599998,21394500
5/20/2020,99.139999,99.800003,97.800003,98.139999,98.139999,5978700
5/21/2020,98.75,98.75,93,94.389999,94.389999,5586900
5/22/2020,94.540001,96.720001,94.349998,95.800003,95.800003,4849300
5/26/2020,96.919998,97.239998,94.459999,95.57,95.57,5007200
5/27/2020,95.660004,98.169998,95.059998,97.199997,97.199997,4540400
5/28/2020,97.519997,99.830002,97.150002,99.220001,99.220001,5457700
5/29/2020,99.269997,100.400002,97.32,100.040001,100.040001,9792500
6/1/2020,99.959999,101,99.32,99.699997,99.699997,2903300
6/2/2020,98.660004,100.5,98.510002,100.410004,100.410004,4720200
6/3/2020,100.910004,102.349998,100.440002,101.209999,101.209999,3756300
6/4/2020,101.540001,101.690002,99.790001,100.169998,100.169998,2534100
6/5/2020,101.300003,102.970001,100.5,101.129997,101.129997,3957900
6/8/2020,100.739998,105.110001,100.440002,104.459999,104.459999,5043500
6/9/2020,102.18,103.540001,101.769997,103.190002,103.190002,5037000
6/10/2020,102.809998,106.720001,102.809998,105.790001,105.790001,6273500
6/11/2020,104.510002,105.309998,100.739998,100.889999,100.889999,7689300
6/12/2020,104.25,105.050003,100.260002,102.309998,102.309998,5288500
6/15/2020,101.32,105.190002,100.730003,104.68,104.68,3842000
6/16/2020,104,104,100.110001,102.889999,102.889999,5766100
